,category,question,answer
0,COVID-19 Risk,"Who is at risk for infection with SARS-CoV-2, the virus that causes COVID-19?","Currently, those at greatest risk of infection are persons who have had prolonged, unprotected close contact (i.e., within 6 feet for 15 minutes or longer) with a patient with confirmed SARS-CoV-2 infection, regardless of whether the patient has symptoms. Persons frequently in congregate settings (e.g., homeless shelters, assisted living facilities, college or university dormitories) are at increased risk of acquiring infection because of the increased likelihood of close contact. Those who live in or have recently been to areas with sustained transmission may also be at higher risk of infection. All persons can reduce the risk to themselves and others by wearing a mask, practicing physical distancing, washing their hands often, and taking other prevention measures. For more information, see Risk Assessment and Your Health."
1,COVID-19 Risk,Who is at risk for severe COVID-19?,"Among adults, the risk for severe illness from COVID-19 increases with age, with older adults at highest risk. Severe illness means that the person with COVID-19 may require hospitalization, intensive care, or a ventilator to help them breathe, or they may even die. People of any age with certain underlying medical conditions are also at increased risk for severe illness from SARS-CoV-2 infection."
2,COVID-19 Risk,What is multisystem inflammatory syndrome in children (MIS-C) and who is at risk?,"CDC continues to investigate multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19. Children and adolescents with MIS-C have presented with a persistent fever and a variety of signs and symptoms including involvement of multiple organs (e.g., cardiac, gastrointestinal, renal, hematologic, dermatologic, neurologic) and elevated inflammatory markers. CDC is collaborating with domestic and international partners to better understand this new syndrome, including how common it is and its risk factors. For more information, including a full case definition and how to report MIS-C to your health department, visit MIS-C Information for Healthcare Providers."
3,Infection Control,When should healthcare facilities make changes to interventions based on changes in community transmission levels?,"Some CDC infection prevention and control recommendations for healthcare settings are based on Community Transmission levels. In general, healthcare facilities should consider checking their local Community Transmission level weekly. When a healthcare facility’s Community Transmission level increases and the increase results in a change in the recommended interventions, the new interventions should be implemented as soon as possible. When a healthcare facility’s Community Transmission levels decrease into a category that corresponds with relaxation of an intervention, facilities should consider confirming the reduction is sustained, by monitoring for at least two weeks, before relaxing the intervention."
4,Infection Control,Can employees choose to wear respirators when not required by the employer?,"In situations where the use of a respirator is not required either by the employer or by an Occupational Safety and Health Administration (OSHA) standard, the employer may still offer filtering facepiece respirators or permit employees to use their own respirators as long as the employer determines that such respirator use will not in itself create a hazard. This is considered voluntary use under the Respiratory Protection Standard. CDC encourages employers to permit workers to voluntarily use filtering facepiece respirators like N95s. If an employer allows voluntary use of filtering facepiece respirators, the employer must provide users with 29 CFR 1910.134 Appendix D – Information for Employees Using Respirators When Not Required Under the Standard. See 29 CFR 1910.134(c)(2) for additional requirements applicable to voluntary respirator use. Healthcare personnel, both paid and unpaid, should be allowed to bring their own highly protective masks (such as N95 respirators) as long as the mask does not violate the facility’s safety and health requirements. They should not be asked to remove their more protective source control device (a well-fitting N95 respirator, for example) for a less protective device (such as a procedure mask) unless the mask or respirator is visibly soiled, damaged, or hard to breathe through. However, devices brought from home may not be appropriate for protecting healthcare personnel from all job hazards, and they should change to recommended personal protective equipment when indicated (for instance, before entering the room of a patient managed with Transmission-Based Precautions). Learn more about the types of masks and respirators and infection control recommendations for healthcare personnel."
5,Infection Control,What should visitors use for source control (masks or respirators) when visiting healthcare facilities?,"CDC recommends that people visiting healthcare facilities use the most protective form of source control (masks or respirators) that fits well and will be worn consistently. Healthcare facilities may choose to offer well-fitting facemasks as a source control option for visitors but should allow the use of a clean mask or respirator with higher level protection by people who chose that option based on their individual preference.  Masks and respirators used for source control should be changed if they become visibly soiled, damaged, or hard to breathe through. Learn more about the types of masks and respirators and infection control recommendations for healthcare personnel."
6,Infection Control,Should facilities that perform elective medical pre-procedural testing of asymptomatic patients modify their testing based on a patient's report of a positive viral test for SARS-CoV-2 in the prior 90 days?,"In general, viral testing is not necessary for asymptomatic patients who have recovered from SARS-CoV-2 infection in the prior 90 days.  However, if a facility is performing medical pre-procedural viral testing and the patient cannot provide documentation of their prior positive viral test, the safest approach is for the facility to retest using their current protocol.  In this situation, antigen testing is preferred. As viral tests for SARS-CoV-2 can remain positive for extended periods, even among patients who are no longer infectious, this approach could result in unnecessary isolation of the patient or delay of an elective medical procedure. Facilities may choose to accept self-test results to determine when to proceed with elective medical procedures. Such an approach assumes that the patient self-administered the viral test properly and interpreted the viral test results correctly.  If there is uncertainty about the validity of reported self-test results, facilities might attempt to acquire documentation of the test results or elect to proceed with their own pre-procedure viral testing."
7,Infection Control,How should isolation and quarantine recommendations be applied to outpatients and visitors in healthcare settings?,"Healthcare facilities should generally refer to the isolation and quarantine recommendations for patients when making decisions about visitation, non-urgent in-person appointments, and the recommended precautions that should be implemented to accommodate visits. Outpatients and visitors who are infected with SARS-CoV-2. It is safest to defer non-urgent, in-person care and visitation until the outpatient/visitor has met the same criteria to discontinue Transmission-based Precautions that are applied to patients in a healthcare setting. If visitation or an in-person outpatient visit is allowed for a person who has not met criteria to discontinue Transmission-based Precautions, then facilities should follow healthcare infection prevention and control recommendations for people with suspected or confirmed SARS-CoV-2 infection. Outpatients and visitors who have had close-contact with someone with SARS-CoV-2 infection and are not up to date with all recommended COVID-19 vaccine doses. It is safest to defer non-urgent, in-person care and visitation until the outpatient/visitor has met the same criteria to discontinue empiric Transmission-Based Precautions (quarantine) that are applied to patients in a healthcare setting. Although CDC does provide an option for inpatients who remain asymptomatic to discontinue their quarantine after 7 days, provided they have a negative test within 48 hours, outpatients and visitors should consider postponing their non-urgent, in-person appointment or visit until 10 days have passed since their close contact. If visitation or an in-person outpatient visit is allowed for a person who has not met these criteria, then facilities should ensure visitors use well-fitting source control and (to the extent possible) physically distance from others while in the facility and that healthcare personnel care for patients using precautions recommended for patients with suspected or confirmed SARS-CoV-2 infection. Outpatients and visitors who have had close-contact with someone with SARS-CoV-2 infection and are up to date with all recommended COVID-19 vaccine doses or who have recovered from SARS-CoV-2 infection in the prior 90 days. In general, CDC does not currently recommend quarantine following close contact with someone with SARS-CoV-2 infection if someone is up to date with all recommended COVID-19 vaccine doses or has recovered from SARS-CoV-2 infection in the prior 90 days. However, it is recommended that these people avoid contact with people who are at high risk for severe outcomes for the 10 days following their exposure. As it may not be possible to avoid contact with people at high risk for severe outcomes in a healthcare setting, it is safest to defer non-urgent in-person appointments and visitation until the outpatient/visitor has met criteria to discontinue quarantine in a healthcare setting as described above. If visitation or an in-person outpatient visit is allowed for a person who has not met these criteria, then facilities should ensure these individuals wear well-fitting source control and (to the extent possible) physically distance from others while in the facility."
8,Infection Control,Can self-tests (also known as over-the-counter or home tests) be used when determining when healthcare personnel (HCP) with SARS-CoV-2 infection or higher-risk exposures may return to work?,"Viral testing is recommended following a higher-risk exposure and might also be used to inform when HCP with SARS-CoV-2 infection may return to work. Using laboratory-based or point-of-care tests are generally preferred in these situations; these tests help ensure the test was administered correctly by a trained provider and allow for official results to be shared with occupational health services. Use of self-tests might be considered in some situations. However, such an approach may inappropriately transfer the cost of testing to HCP, Requires trust that HCP self-administered and interpreted the test results correctly, and Requires that HCP report their own results to occupational health services. If self-tests are used, consideration should be given to performing a second test at least 24 hours following an initial negative test; if negative, this increases the confidence the HCP are not infectious. Facilities could also consider having HCP present for a proctored test to assist with ensuring appropriate collection and interpretation.  CDC has resources to assist individuals with self-testing."
9,Infection Control,Do CDC's interim infection prevention and control recommendations for COVID-19 apply to psychiatric hospitals or other behavioral health facilities,"Yes. To keep patients and healthcare personnel (HCP) healthy and safe, CDC’s infection prevention and control guidance applies to all settings where healthcare is delivered. However, as with any guidance, facilities can tailor certain recommendations to their setting. For example, inpatient psychiatric care includes communal experiences and group activities that may need to continue. If so, these activities might need to be adapted to align with physical distancing recommendations. Other recommended infection control measures (for example, ensuring access to alcohol-based hand sanitizer, cohorting patients with COVID-19 and assigning dedicated staff, or implementing universal source control measures) might not be safe or appropriate to implement in all locations or for all patients due to security and behavioral concerns. Challenges and potential solutions specific to behavioral health settings might include: Cohorting. Challenge: To prevent transmission, it is generally recommended that patients with SARS-CoV-2 infection be transferred to a separate area of the facility where they can be cared for by dedicated HCP. Because of security concerns or specialized care needs, it might not be possible to cohort certain patients together or change HCP assigned to their care. Potential Solutions: When cohorting is not possible, implement measures to maintain physical distancing (at least 6 feet) between patients with SARS-CoV-2 infection and others on the unit. Ideally, this would include a separate bathroom for patients with SARS-CoV-2 infection. Ensure HCP wear all recommended personal protective equipment (PPE) when caring for patients with suspected or confirmed SARS-CoV-2 infection. Group Therapy Sessions. Challenge: Group counseling, therapy, and discussion sessions are critical components of psychiatric treatment and care plans, but the traditional set-up for these activities is not compatible with physical distancing recommendations. Potential Solutions: When possible, use virtual methods, or decrease group size so physical distancing can be maintained. In the event that SARS-CoV-2 is transmitted in the facility, sessions should stop or move to a video discussion forum until additional infection prevention measures are in place to stop the spread. Source Control. Challenge: For some patients, the use of well-fitting source control (respirators, facemasks or cloth masks) might cause distress or pose an additional danger to themselves or others. Some patients may be unable or unwilling to use them as intended. Elastic and cloth straps can be used for strangling oneself or others, and metal nasal bridges can be used for self-harm or as a weapon. Potential Solutions: Consider allowing patients at low risk for misuse to wear facemasks or cloth masks, with a preference for those with short ear-loops rather than longer ties. Consider use of facemasks or cloth masks during supervised group activities. In areas of substantial to high community transmission, ensure that HCP interacting with patients (who are not suspected or confirmed to have SARS-CoV-2 infection) are still wearing eye protection in addition to well-fitting source control.  HCP should always wear all recommended personal protective equipment (PPE) when caring for patients with suspected or confirmed SARS-CoV-2 infection. Alcohol-based Hand Sanitizer. Challenge: While alcohol-based hand sanitizer (ABHS) containing 60-95% alcohol is an important tool to increase adherence to hand hygiene recommendations, ABHS must be used carefully in psychiatric facilities to ensure it is not ingested by patients. Potential Solutions: Consider not placing ABHS in patients’ rooms in psychiatric facilities, nor in locations where the patients have unsupervised access. Encourage frequent hand washing with soap and water for patients and HCP. Consider providing personal, pocket-sized ABHS dispensers for HCP. Dining. Challenge: As part of physical distancing, communal dining is generally not recommended. However, eating needs to remain supervised due to the potential for self-harm with eating utensils and because commonly used psychiatric medications may cause side effects (e.g., tardive dyskinesia, dysphagia, hypo- and hypersalivation) that increase choking risk for patients. Potential Solutions: One option is to position staff in patients’ rooms to monitor their dining. Another option is to allow communal dining in shifts so that staff can monitor patients while ensuring they remain at least 6 feet apart. A third option is to have patients sit in appropriately spaced chairs in the hallway outside their rooms so they can be monitored while they eat. Smoking. Challenge: A higher proportion of psychiatric patients smoke cigarettes compared to the general population. Patients might congregate in outdoor smoking spaces without practicing appropriate physical distancing. Potential Solutions: Limit the number of patients allowed to access smoking spaces at the same time, and position staff to observe and ensure patients are practicing appropriate physical distancing."
